#Type	Kind	Base	Namespace	Path	Gate	Summary
GizmoIconEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoIconEditor.cs	-	Custom editor for IGizmoIcon objects
GizmoLineEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoLineEditor.cs	-	Custom editor for IGizmoLine objects
GizmoMeshEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoMeshEditor.cs	-	Custom editor for IGizmoMesh objects
GizmoRayEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoRayEditor.cs	-	Custom editor for IGizmoRay objects
GizmosCubeUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosCubeUtility.cs	-	Draw a solid or wireframe box at center with size
GizmosFieldOfViewUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosFieldOfViewUtility.cs	-	Draws a field of view cone: two boundary lines and the arc that closes them
GizmosFrustumUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosFrustumUtility.cs	-	-
GizmosGridUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosGridUtility.cs	-	-
GizmosGUITextureUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosGUITextureUtility.cs	-	-
GizmosIconUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosIconUtility.cs	-	DrawIcon can be used to allow important objects in your game to be selected quickly
GizmosLineUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosLineUtility.cs	-	Draws a line starting at from towards to
GizmosMeshUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosMeshUtility.cs	-	Draw a solid or wireframe Mesh
GizmoSphereEditor	class	Editor	SombraStudios.Shared.Utility.UnityGizmos.Editor	Utility/UnityGizmos/Editor/GizmoSphereEditor.cs	-	Custom editor for IGizmoSphere objects
GizmosRayUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosRayUtility.cs	-	Draws a ray starting at from to from + direction
GizmosSphereUtility	class	GizmosUtility	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosSphereUtility.cs	-	Draws a solid or wireframe sphere with center and radius
GizmosUtility	class	MonoBehaviour	SombraStudios.Shared.Utility.UnityGizmos	Utility/UnityGizmos/Monobehaviours/GizmosUtility.cs	-	Decorator/Wrapper over MonoBehaviour OnDrawGizmos and OnDrawGizmosSelected Unity messages
GraphNode	class	MonoBehaviour	SombraStudios.Shared.Examples.Graphs	Examples/Graphs/GraphNode.cs	-	Represents a node in a graph with visual connections to neighboring nodes
GridSpawner	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Spawners	Gameplay/Spawners/GridSpawner.cs	-	This component spawns an array of Prefabs in a grid pattern -- useful for generating a wall of blocks
GUILayoutNetwork	class	MonoBehaviour	SombraStudios.Shared.Networking.Netcode	Networking/Netcode/GUILayoutNetwork.cs	REQUIRES_EXTERNAL_PACKAGE	Class to show buttons and labels related to Networking
HandSide	enum	-	SombraStudios.Shared.Enums	Enums/HandSide.cs	-	Enum representing the side of a hand
HandTarget	enum	-	SombraStudios.Shared.Enums	Enums/HandTarget.cs	-	Enum representing target hands for an action
Haptic	class	-	SombraStudios.Shared.XR	XR/HapticInteractable.cs	UNITY_XR_INTERACTION_TOOLKIT	Configuration for haptic feedback
HapticInteractable	class	MonoBehaviour	SombraStudios.Shared.XR	XR/HapticInteractable.cs	UNITY_XR_INTERACTION_TOOLKIT	Trigger haptics on interactable object using Haptic configuration on demand or on events
HealData	class	-	SombraStudios.Shared.Systems.Heal	Systems/Heal/HealData.cs	-	-
HexToRGBA	class	MonoBehaviour	SombraStudios.Shared.Utility	Utility/HexToRGBA.cs	-	Class that creates a text file at the root proyect folder with the string lines converted from Hex code Colors into RGBA ready to paste t...
HUDFPS	class	MonoBehaviour	SombraStudios.Shared.UI	UI/HUDFPS.cs	-	Attach this to a GUIText to make a frames/second indicator with colors
IAnimationStateEventEnterReceiver	interface	-	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/Interfaces/IAnimationStateEventEnterReceiver.cs	-	Enables a component to react to the 'ActionBegin' animation event
IAnimationStateEventExitReceiver	interface	-	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/Interfaces/IAnimationStateEventExitReceiver.cs	-	Enables a component to react to the 'ActionFinished' animation event
IAnimationStateEventReceiver	interface	-	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/Interfaces/IAnimationStateEventReceiver.cs	-	Interface for receiving animation state events
IBaseStat	interface	-	SombraStudios.Shared.Systems.Stats	Systems/Stats/StatInterfaces/IBaseStat.cs	-	Represents a basic stat with a name
IBehaviour	interface	-	SombraStudios.Shared.Gameplay.Behaviours	Gameplay/Behaviours/IBehaviour.cs	-	Interface for defining a behavior with enable/disable functionality
IBlendShapeProperty	interface	-	SombraStudios.Shared.VFX.PropertySO	VFX/PropertySO/BlendShape/IBlendShapeProperty.cs	-	Interface for blend shape properties
ICommand	interface	-	SombraStudios.Shared.Patterns.Behavioural.Command	Patterns/Behavioural/Command/ICommand.cs	-	This interface defines the minimum functionality for creating the command design pattern (for ScriptableObjects, MonoBehaviours, or gener...
ICommand<T>	interface	-	SombraStudios.Shared.Patterns.Behavioural.Command	Patterns/Behavioural/Command/ICommand.cs	-	This interface defines the minimum functionality for creating the command design pattern with a parameterized type
ICondition	interface	-	SombraStudios.Shared.Interfaces	Interfaces/ICondition.cs	-	Defines a contract for evaluating a condition
